id,genres
0,crime drama
1,drama
2,drama
3,drama
4,action thriller
5,drama romance
6,comedy drama romance
7,comedy drama romance
8,drama
9,action drama
10,drama
11,action thriller
12,comedy drama
13,action thriller
14,drama thriller
15,action drama
16,drama
17,drama
18,thriller
19,action drama
20,drama
21,thriller
22,sci-fi
23,drama
24,drama thriller
25,drama
26,comedy drama
27,comedy drama
28,comedy thriller
29,thriller
30,action crime thriller
31,drama
32,crime drama thriller
33,action thriller
34,adventure thriller
35,drama thriller
36,drama thriller
37,crime thriller
38,crime drama thriller
39,drama
40,drama thriller
41,action drama thriller
42,comedy drama romance
43,drama
44,drama
45,comedy drama
46,drama
47,drama horror thriller
48,action drama thriller
49,drama thriller
50,action thriller
51,comedy drama romance
52,comedy drama thriller
53,action drama
54,drama
55,drama thriller
56,drama thriller
57,drama
58,drama
59,comedy drama
60,comedy drama thriller
61,crime drama thriller
62,thriller
63,drama thriller
64,drama thriller
65,drama
66,action comedy thriller
67,drama
68,drama thriller
69,action crime drama thriller
70,thriller
71,action thriller
72,drama
73,thriller
74,
75,drama thriller
76,
77,comedy drama
78,drama thriller
79,action adventure thriller
80,drama thriller
81,action crime thriller
82,thriller
83,comedy thriller
84,comedy drama romance
85,comedy drama romance
86,thriller
87,thriller
88,thriller
89,crime drama thriller
90,thriller
91,action thriller
92,action adventure sci-fi thriller
93,drama
94,drama thriller
95,comedy drama
96,drama
97,drama thriller
98,action comedy thriller
99,comedy drama
100,comedy drama
101,mystery thriller
102,crime drama thriller
103,action crime thriller
104,comedy drama romance
105,comedy drama
106,drama thriller
107,action drama thriller
108,comedy drama
109,action drama thriller
110,action comedy drama romance
111,thriller
112,drama thriller
113,crime drama thriller
114,comedy drama
115,drama romance
116,drama
117,drama
118,drama thriller
119,comedy drama
120,drama thriller
121,action drama
122,comedy drama romance
123,comedy drama
124,drama romance
125,drama thriller
126,drama thriller
127,comedy
128,drama
129,action comedy crime thriller
130,drama thriller
131,action thriller
132,drama
133,drama
134,drama
135,comedy drama
136,drama thriller
137,comedy drama romance
138,drama romance thriller
139,drama thriller
140,drama
141,crime drama thriller
142,drama
143,action drama thriller
144,drama thriller
145,drama thriller
146,comedy drama
147,comedy drama
148,drama
149,action thriller
150,drama thriller
151,drama
152,drama
153,thriller
154,mystery thriller
155,drama thriller
156,drama thriller
157,thriller
158,thriller
159,action
160,drama thriller
161,drama thriller
162,comedy drama
163,comedy
164,drama thriller
165,drama
166,drama
167,drama thriller
168,drama thriller
169,crime drama thriller
170,thriller
171,drama thriller
172,drama thriller
173,drama
174,comedy drama romance
175,drama
176,comedy romance
177,thriller
178,drama
179,thriller
180,drama
181,crime drama
182,drama thriller
183,drama thriller
184,action thriller
185,drama
186,drama thriller
187,drama romance
188,thriller
189,drama
190,drama
191,drama romance
192,comedy crime drama romance
193,action drama
194,comedy drama thriller
195,action drama thriller
196,drama
197,comedy romance
198,crime drama
199,drama thriller
200,drama thriller
201,action drama
202,drama thriller
203,drama
204,drama thriller
205,drama romance
206,drama
