id,genres
0,drama
1,drama
2,drama
3,drama
4,thriller
5,romance
6,romance
7,comedy
8,drama
9,drama
10,drama
11,thriller
12,comedy
13,thriller
14,drama
15,action
16,drama
17,drama
18,thriller
19,action
20,drama
21,thriller
22,sci-fi
23,drama
24,drama
25,drama
26,drama
27,drama
28,thriller
29,thriller
30,crime
31,drama
32,thriller
33,action
34,adventure
35,drama
36,thriller
37,thriller
38,thriller
39,drama
40,drama
41,thriller
42,romance
43,drama
44,drama
45,drama
46,drama
47,thriller
48,thriller
49,drama
50,thriller
51,mystery
52,drama
53,action
54,drama
55,thriller
56,thriller
57,drama
58,action
59,drama
60,drama
61,thriller
62,thriller
63,thriller
64,thriller
65,drama
66,thriller
67,drama
68,drama
69,crime
70,thriller
71,action
72,romance
73,thriller
74,biography
75,thriller
76,comedy
77,comedy
78,thriller
79,adventure
80,thriller
81,thriller
82,thriller
83,thriller
84,romance
85,comedy
86,horror
87,thriller
88,thriller
89,thriller
90,thriller
91,action
92,sci-fi
93,drama
94,drama
95,drama
96,drama
97,drama
98,comedy
99,comedy
100,drama
101,mystery
102,crime
103,thriller
104,thriller
105,romance
106,thriller
107,thriller
108,drama
109,drama
110,comedy
111,thriller
112,thriller
113,thriller
114,comedy
115,action
116,drama
117,drama
118,thriller
119,comedy
120,drama
121,drama
122,comedy
123,comedy
124,drama
125,drama
126,thriller
127,comedy
128,drama
129,action
130,thriller
131,action
132,drama
133,comedy
134,drama
135,drama
136,thriller
137,comedy
138,drama
139,thriller
140,drama
141,crime
142,drama
143,drama
144,drama
145,thriller
146,drama
147,drama
148,drama
149,thriller
150,drama
151,drama
152,drama
153,romance
154,thriller
155,thriller
156,drama
157,horror
158,thriller
159,sci-fi
160,drama
161,thriller
162,comedy
163,drama
164,thriller
165,drama
166,drama
167,drama
168,drama
169,thriller
170,drama
171,adventure
172,thriller
173,drama
174,romance
175,drama
176,romance
177,thriller
178,drama
179,thriller
180,drama
181,drama
182,drama
183,drama
184,action
185,drama
186,thriller
187,romance
188,thriller
189,drama
190,drama
191,drama
192,drama
193,action
194,romance
195,thriller
196,drama
197,comedy
198,drama
199,drama
200,crime
201,drama
202,drama
203,drama
204,drama
205,romance
206,drama
207,thriller
208,drama
209,comedy
210,thriller
211,thriller
212,thriller
213,sci-fi
214,crime
215,comedy
216,comedy
217,drama
218,drama
219,thriller
220,drama
221,action
222,thriller
223,drama
224,drama
225,drama
226,drama
227,thriller
228,drama
229,drama
230,drama
231,drama
232,drama
233,thriller
234,thriller
235,drama
236,adventure
237,action
238,action
239,thriller
240,drama
241,thriller
242,crime
243,drama
244,drama
245,drama
246,drama
247,comedy
248,thriller
249,drama
250,drama
251,drama
252,comedy
253,crime
254,comedy
255,drama
256,drama
257,drama
258,crime
259,drama
260,crime
261,drama
262,thriller
263,thriller
264,comedy
265,comedy
266,drama
267,thriller
268,drama
269,thriller
270,action
271,drama
272,thriller
273,drama
274,thriller
275,romance
276,drama
277,thriller
278,action
279,drama
280,drama
281,thriller
282,drama
283,drama
284,drama
285,drama
286,comedy
287,drama
288,adventure
289,horror
290,thriller
291,thriller
292,crime
293,thriller
294,drama
295,drama
296,drama
297,thriller
